,0
602.0,0.0803
601.5,0.0863
601.0,0.0916
600.5,0.0931
600.0,0.0927
599.5,0.0851
599.0,0.078
598.5,0.0777
598.0,0.0771
597.5,0.0718
597.0,0.0662
596.5,0.0626
596.0,0.0602
595.5,0.0616
595.0,0.0641
594.5,0.0691
594.0,0.0723
593.5,0.0708
593.0,0.0706
592.5,0.073
592.0,0.0749
591.5,0.0719
591.0,0.0698
590.5,0.0722
590.0,0.0739
589.5,0.0741
589.0,0.0793
588.5,0.0813
588.0,0.0776
587.5,0.0753
587.0,0.0724
586.5,0.069
586.0,0.0679
585.5,0.0662
585.0,0.0627
584.5,0.0611
584.0,0.0609
583.5,0.0618
583.0,0.0656
582.5,0.0669
582.0,0.0685
581.5,0.0704
581.0,0.0727
580.5,0.077
580.0,0.0781
579.5,0.0764
579.0,0.0749
578.5,0.0761
578.0,0.0776
577.5,0.0752
577.0,0.0736
576.5,0.0735
576.0,0.0742
575.5,0.0834
575.0,0.0881
574.5,0.0887
574.0,0.0966
573.5,0.0973
573.0,0.0939
572.5,0.0935
572.0,0.0904
571.5,0.087
571.0,0.0843
570.5,0.0798
570.0,0.0743
569.5,0.0673
569.0,0.0667
568.5,0.0674
568.0,0.062
567.5,0.06
567.0,0.06
566.5,0.0609
566.0,0.0616
565.5,0.0616
565.0,0.0621
564.5,0.0624
564.0,0.0592
563.5,0.0581
563.0,0.0609
562.5,0.0621
562.0,0.0641
561.5,0.0695
561.0,0.0692
560.5,0.0637
560.0,0.0637
559.5,0.0617
559.0,0.0592
558.5,0.0578
558.0,0.0583
557.5,0.0622
557.0,0.0652
556.5,0.0656
556.0,0.0707
555.5,0.0758
555.0,0.0738
554.5,0.0711
554.0,0.0673
553.5,0.0613
553.0,0.0605
552.5,0.0675
552.0,0.0717
551.5,0.0756
551.0,0.0808
550.5,0.0803
550.0,0.0768
549.5,0.0763
549.0,0.08
548.5,0.0867
548.0,0.0856
547.5,0.0754
547.0,0.0703
546.5,0.0702
546.0,0.0713
545.5,0.0715
545.0,0.0733
544.5,0.0778
544.0,0.0768
543.5,0.074
543.0,0.0758
542.5,0.0797
542.0,0.0884
541.5,0.0941
541.0,0.0975
540.5,0.1046
540.0,0.1075
539.5,0.11
539.0,0.1106
538.5,0.1141
538.0,0.1155
537.5,0.1145
537.0,0.1129
536.5,0.1113
536.0,0.112
535.5,0.1098
535.0,0.1078
534.5,0.1046
534.0,0.1003
533.5,0.0973
533.0,0.0961
532.5,0.0929
532.0,0.0882
531.5,0.0825
531.0,0.0842
530.5,0.0891
530.0,0.0856
529.5,0.08
529.0,0.0842
528.5,0.0907
528.0,0.0963
527.5,0.0946
527.0,0.0882
526.5,0.0835
526.0,0.078
525.5,0.0746
525.0,0.0717
524.5,0.0692
524.0,0.0703
523.5,0.0752
523.0,0.0798
522.5,0.0799
522.0,0.0824
521.5,0.092
521.0,0.0966
520.5,0.1018
520.0,0.1101
519.5,0.1137
519.0,0.1112
518.5,0.1059
518.0,0.1037
517.5,0.1046
517.0,0.1141
516.5,0.118
516.0,0.1173
515.5,0.1219
515.0,0.1259
514.5,0.1258
514.0,0.1247
513.5,0.1277
513.0,0.1294
512.5,0.127
512.0,0.1268
511.5,0.1261
511.0,0.1218
510.5,0.1138
510.0,0.1139
509.5,0.1183
509.0,0.1176
508.5,0.1111
508.0,0.1086
507.5,0.111
507.0,0.1034
506.5,0.0929
506.0,0.0934
505.5,0.0961
505.0,0.0971
504.5,0.0942
504.0,0.0878
503.5,0.0828
503.0,0.079
502.5,0.0837
502.0,0.091
501.5,0.0912
501.0,0.0909
500.5,0.0926
500.0,0.0926
499.5,0.097
499.0,0.101
498.5,0.1046
498.0,0.1106
497.5,0.1122
497.0,0.1158
496.5,0.1171
496.0,0.1124
495.5,0.1151
495.0,0.1137
494.5,0.1119
494.0,0.115
493.5,0.1137
493.0,0.1089
492.5,0.1078
492.0,0.1132
491.5,0.1235
491.0,0.1316
490.5,0.1355
490.0,0.1394
489.5,0.1453
489.0,0.1458
488.5,0.1441
488.0,0.1462
487.5,0.1474
487.0,0.1479
486.5,0.1508
486.0,0.1558
485.5,0.1603
485.0,0.1669
484.5,0.1657
484.0,0.1673
483.5,0.1792
483.0,0.1894
482.5,0.1876
482.0,0.1852
481.5,0.1929
481.0,0.1879
480.5,0.1735
480.0,0.171
479.5,0.1642
479.0,0.1651
478.5,0.1748
478.0,0.1689
477.5,0.1726
477.0,0.1817
476.5,0.1797
476.0,0.1779
475.5,0.1779
475.0,0.1765
474.5,0.1703
474.0,0.1547
473.5,0.1471
473.0,0.1538
472.5,0.1678
472.0,0.1833
471.5,0.1857
471.0,0.1866
470.5,0.1921
470.0,0.1919
469.5,0.1961
469.0,0.2017
468.5,0.2007
468.0,0.1973
467.5,0.1948
467.0,0.1943
466.5,0.1949
466.0,0.1933
465.5,0.1907
465.0,0.193
464.5,0.1928
464.0,0.1942
463.5,0.2017
463.0,0.1985
462.5,0.1876
462.0,0.186
461.5,0.1846
461.0,0.1829
460.5,0.1848
460.0,0.1835
459.5,0.1839
459.0,0.1861
458.5,0.1796
458.0,0.1708
457.5,0.1698
457.0,0.1718
456.5,0.1718
456.0,0.1678
455.5,0.1628
455.0,0.1564
454.5,0.1517
454.0,0.159
453.5,0.1579
453.0,0.1496
452.5,0.1495
452.0,0.1508
451.5,0.1545
451.0,0.163
450.5,0.1683
450.0,0.1689
449.5,0.1666
449.0,0.1598
448.5,0.1571
448.0,0.1549
447.5,0.1486
447.0,0.1429
446.5,0.1424
446.0,0.1415
445.5,0.1357
445.0,0.1283
444.5,0.1197
444.0,0.1132
443.5,0.1065
443.0,0.1114
442.5,0.1165
442.0,0.1095
441.5,0.1038
441.0,0.0996
440.5,0.0996
440.0,0.0978
439.5,0.0896
439.0,0.0876
438.5,0.0855
438.0,0.0824
437.5,0.0795
437.0,0.0811
436.5,0.0873
436.0,0.0897
435.5,0.0889
435.0,0.0874
434.5,0.0903
434.0,0.0948
433.5,0.0946
433.0,0.0926
432.5,0.0893
432.0,0.0896
431.5,0.0919
431.0,0.0888
430.5,0.0843
430.0,0.0841
429.5,0.087
429.0,0.0878
428.5,0.0911
428.0,0.0967
427.5,0.0984
427.0,0.0956
426.5,0.0891
426.0,0.0824
425.5,0.0854
425.0,0.0933
424.5,0.0988
424.0,0.1036
423.5,0.1072
423.0,0.0993
422.5,0.0846
422.0,0.078
421.5,0.0761
421.0,0.0758
420.5,0.0753
420.0,0.0723
419.5,0.0727
419.0,0.0762
418.5,0.0788
418.0,0.081
417.5,0.0778
417.0,0.0709
416.5,0.0684
416.0,0.0691
415.5,0.0727
415.0,0.0753
414.5,0.0777
414.0,0.0776
413.5,0.0729
413.0,0.0722
412.5,0.0705
412.0,0.0665
411.5,0.0663
411.0,0.066
410.5,0.0646
410.0,0.0621
409.5,0.0598
409.0,0.0589
408.5,0.0585
408.0,0.0634
407.5,0.0682
407.0,0.0739
406.5,0.0859
406.0,0.0918
405.5,0.0941
405.0,0.1004
404.5,0.1006
404.0,0.0965
403.5,0.0949
403.0,0.0948
402.5,0.0986
402.0,0.1021
401.5,0.0987
401.0,0.0959
400.5,0.0957
400.0,0.0922
399.5,0.0825
399.0,0.074
398.5,0.0701
398.0,0.0683
397.5,0.0639
397.0,0.0626
396.5,0.0688
396.0,0.0715
395.5,0.068
395.0,0.0619
394.5,0.0558
394.0,0.0517
393.5,0.0509
393.0,0.0487
392.5,0.0514
392.0,0.059
391.5,0.0661
391.0,0.0752
390.5,0.0829
390.0,0.0845
389.5,0.0778
389.0,0.0728
388.5,0.0745
388.0,0.079
387.5,0.0847
387.0,0.0859
386.5,0.0886
386.0,0.0932
385.5,0.0934
385.0,0.0931
384.5,0.0929
384.0,0.0891
383.5,0.0815
383.0,0.083
382.5,0.0843
382.0,0.0807
381.5,0.074
381.0,0.0662
380.5,0.0656
380.0,0.0668
379.5,0.0686
379.0,0.0721
378.5,0.0784
378.0,0.0845
377.5,0.0855
377.0,0.0865
376.5,0.0884
376.0,0.0915
375.5,0.0918
375.0,0.0827
374.5,0.073
374.0,0.0685
373.5,0.0697
373.0,0.0683
372.5,0.0668
372.0,0.064
371.5,0.0631
371.0,0.0664
370.5,0.0692
370.0,0.0778
369.5,0.085
369.0,0.0839
368.5,0.0862
368.0,0.0889
367.5,0.0883
367.0,0.0902
366.5,0.0902
366.0,0.0893
365.5,0.089
365.0,0.087
364.5,0.0825
364.0,0.0854
363.5,0.0886
363.0,0.087
362.5,0.0847
362.0,0.0817
361.5,0.0833
361.0,0.0897
360.5,0.0885
360.0,0.0854
359.5,0.0923
359.0,0.0968
358.5,0.0948
358.0,0.0916
357.5,0.0876
357.0,0.0848
356.5,0.0864
356.0,0.0977
355.5,0.1034
355.0,0.0958
354.5,0.0907
354.0,0.0914
353.5,0.0908
353.0,0.0932
352.5,0.0975
352.0,0.0993
351.5,0.0966
351.0,0.0892
350.5,0.0876
350.0,0.0948
349.5,0.0957
349.0,0.0941
348.5,0.0983
348.0,0.1066
347.5,0.1058
347.0,0.0951
346.5,0.094
346.0,0.0966
345.5,0.1007
345.0,0.0989
344.5,0.0902
344.0,0.0911
343.5,0.0894
343.0,0.0882
342.5,0.0968
342.0,0.1056
341.5,0.0994
341.0,0.0928
340.5,0.0894
340.0,0.0884
339.5,0.0887
339.0,0.0893
338.5,0.0929
338.0,0.0938
337.5,0.0925
337.0,0.0924
336.5,0.0938
336.0,0.0927
335.5,0.0821
335.0,0.0719
334.5,0.0693
334.0,0.0661
333.5,0.0634
333.0,0.0641
332.5,0.0578
332.0,0.0555
331.5,0.0548
331.0,0.0492
330.5,0.046
330.0,0.0469
329.5,0.0483
329.0,0.0476
328.5,0.0472
328.0,0.0499
327.5,0.0481
327.0,0.043
326.5,0.0416
326.0,0.0413
325.5,0.0441
325.0,0.0472
324.5,0.0515
324.0,0.0579
323.5,0.0614
323.0,0.0639
322.5,0.0616
322.0,0.056
321.5,0.0546
321.0,0.0534
320.5,0.0526
320.0,0.0478
319.5,0.0416
319.0,0.0343
318.5,0.0286
318.0,0.0273
317.5,0.0287
317.0,0.0307
316.5,0.0292
316.0,0.0267
315.5,0.026
315.0,0.0261
314.5,0.0245
314.0,0.0213
313.5,0.0187
313.0,0.0172
312.5,0.0153
312.0,0.0145
311.5,0.0146
311.0,0.0139
310.5,0.0124
310.0,0.0111
309.5,0.011
309.0,0.0122
308.5,0.0139
308.0,0.0158
307.5,0.0172
307.0,0.0177
306.5,0.0184
306.0,0.0198
305.5,0.0225
305.0,0.0203
304.5,0.0168
304.0,0.0141
303.5,0.0111
303.0,0.0108
302.5,0.0122
302.0,0.0118
301.5,0.0102
301.0,0.0116
300.5,0.0144
300.0,0.0158
299.5,0.0155
299.0,0.014
298.5,0.0139
298.0,0.0142
297.5,0.0128
297.0,0.0128
296.5,0.0127
296.0,0.0136
295.5,0.0144
295.0,0.0126
294.5,0.0121
294.0,0.0118
293.5,0.0098
293.0,0.0092
292.5,0.0122
292.0,0.0151
291.5,0.0148
291.0,0.0137
290.5,0.0137
290.0,0.0138
289.5,0.0123
289.0,0.0106
288.5,0.0106
288.0,0.0098
287.5,0.0082
287.0,0.0066
286.5,0.0068
286.0,0.0077
285.5,0.0085
285.0,0.0103
284.5,0.0108
284.0,0.009
283.5,0.0091
283.0,0.0091
282.5,0.0084
282.0,0.0089
281.5,0.0082
281.0,0.0077
280.5,0.008
280.0,0.0066
279.5,0.0061
279.0,0.0062
278.5,0.0054
278.0,0.0047
277.5,0.0049
277.0,0.0057
276.5,0.0054
276.0,0.0047
275.5,0.0041
275.0,0.0037
274.5,0.0038
274.0,0.0053
273.5,0.0064
273.0,0.0077
272.5,0.0087
272.0,0.0086
271.5,0.0096
271.0,0.0111
270.5,0.0117
270.0,0.0128
269.5,0.0141
269.0,0.0148
268.5,0.0173
268.0,0.0193
267.5,0.0171
267.0,0.0142
266.5,0.0146
266.0,0.0153
265.5,0.0144
265.0,0.015
264.5,0.0156
264.0,0.0151
263.5,0.0166
263.0,0.0167
262.5,0.0127
262.0,0.0099
