,total,1st,2nd
229.0,0.15115,,0.3023
229.5,0.15605,,0.3121
230.0,0.15965,,0.3193
230.5,0.1632,,0.3264
231.0,0.1725,,0.345
231.5,0.17975,,0.3595
232.0,0.1863,,0.3726
232.5,0.1883,,0.3766
233.0,0.1846,,0.3692
233.5,0.18425,,0.3685
234.0,0.1901,,0.3802
234.5,0.1976,,0.3952
235.0,0.20045,,0.4009
235.5,0.2014,,0.4028
236.0,0.20915,,0.4183
236.5,0.21495,,0.4299
237.0,0.21485,,0.4297
237.5,0.20915,,0.4183
238.0,0.20245,,0.4049
238.5,0.20355,,0.4071
239.0,0.1996,,0.3992
239.5,0.19025,,0.3805
240.0,0.18835,,0.3767
240.5,0.1861,,0.3722
241.0,0.18425,,0.3685
241.5,0.1803,,0.3606
242.0,0.17845,,0.3569
242.5,0.18515,,0.3703
243.0,0.1862,,0.3724
243.5,0.1773,,0.3546
244.0,0.1681,,0.3362
244.5,0.16625,,0.3325
245.0,0.16365,,0.3273
245.5,0.1594,,0.3188
246.0,0.1566,,0.3132
246.5,0.15695,,0.3139
247.0,0.15715,,0.3143
247.5,0.14805,,0.2961
248.0,0.14525,,0.2905
248.5,0.1502,,0.3004
249.0,0.149,,0.298
249.5,0.1455,,0.291
250.0,0.14455,,0.2891
250.5,0.1435,,0.287
251.0,0.1351,,0.2702
251.5,0.13035,,0.2607
252.0,0.1326,,0.2652
252.5,0.13565,,0.2713
253.0,0.14015,,0.2803
253.5,0.1394,,0.2788
254.0,0.1336,,0.2672
254.5,0.1263,,0.2526
255.0,0.11295,,0.2259
255.5,0.1019,,0.2038
256.0,0.0954,,0.1908
256.5,0.0877,,0.1754
257.0,0.0822,,0.1644
257.5,0.07605,,0.1521
258.0,0.0699,,0.1398
258.5,0.07215,,0.1443
259.0,0.07225,,0.1445
259.5,0.06905,,0.1381
260.0,0.0698,,0.1396
260.5,0.0691,,0.1382
261.0,0.06665,,0.1333
261.5,0.06595,,0.1319
262.0,0.06375,,0.1275
262.5,0.06035,,0.1207
263.0,0.0584,,0.1168
263.5,0.05755,,0.1151
264.0,0.055,,0.11
264.5,0.0523,,0.1046
265.0,0.04875,,0.0975
265.5,0.0484,,0.0968
266.0,0.04655,,0.0931
266.5,0.0411,,0.0822
267.0,0.03885,,0.0777
267.5,0.03675,,0.0735
268.0,0.03175,,0.0635
268.5,0.0277,,0.0554
269.0,0.02535,,0.0507
269.5,0.02335,,0.0467
270.0,0.0217,,0.0434
270.5,0.0212,,0.0424
271.0,0.02215,,0.0443
271.5,0.0211,,0.0422
272.0,0.0185,,0.037
272.5,0.0158,,0.0316
273.0,0.014,,0.028
273.5,0.01265,,0.0253
274.0,0.01085,,0.0217
274.5,0.01045,,0.0209
275.0,0.0104,,0.0208
275.5,0.00925,,0.0185
276.0,0.00855,,0.0171
276.5,0.00915,,0.0183
277.0,0.00995,,0.0199
277.5,0.00935,,0.0187
278.0,0.00825,,0.0165
278.5,0.00785,,0.0157
279.0,0.0077,,0.0154
279.5,0.00825,,0.0165
280.0,0.00845,,0.0169
280.5,0.00965,,0.0193
281.0,0.00945,,0.0189
281.5,0.0078,,0.0156
282.0,0.0069,,0.0138
282.5,0.0061,,0.0122
283.0,0.0056,,0.0112
283.5,0.0052,,0.0104
284.0,0.0049,,0.0098
284.5,0.0045,,0.009
285.0,0.0043,,0.0086
285.5,0.0044,,0.0088
286.0,0.0039,,0.0078
286.5,0.0034,,0.0068
287.0,0.00295,,0.0059
287.5,0.00195,,0.0039
288.0,0.00225,,0.0045
288.5,0.0029,,0.0058
289.0,0.00295,,0.0059
289.5,0.00275,,0.0055
290.0,0.0027,,0.0054
290.5,0.0027,,0.0054
291.0,0.0023,,0.0046
291.5,0.0018,,0.0036
292.0,0.00215,,0.0043
292.5,0.00255,,0.0051
293.0,0.00245,,0.0049
293.5,0.00235,,0.0047
294.0,0.0023,,0.0046
294.5,0.0025,,0.005
295.0,0.0033,,0.0066
295.5,0.0039,,0.0078
296.0,0.00335,,0.0067
296.5,0.00285,,0.0057
297.0,0.0033,,0.0066
297.5,0.0042,,0.0084
298.0,0.0052,,0.0104
298.5,0.005,,0.01
299.0,0.00395,,0.0079
299.5,0.00395,,0.0079
300.0,0.00405,,0.0081
300.5,0.0037,,0.0074
301.0,0.0034,,0.0068
301.5,0.0029,,0.0058
302.0,0.00255,,0.0051
302.5,0.00275,,0.0055
303.0,0.00475,,0.0095
303.5,0.0067,,0.0134
304.0,0.0062,,0.0124
304.5,0.005,,0.01
305.0,0.0046,,0.0092
305.5,0.00435,,0.0087
306.0,0.00355,,0.0071
306.5,0.0031,,0.0062
307.0,0.00365,,0.0073
307.5,0.004,,0.008
308.0,0.00485,,0.0097
308.5,0.00675,,0.0135
309.0,0.00585,,0.0117
309.5,0.0038,,0.0076
310.0,0.00335,,0.0067
310.5,0.00295,,0.0059
311.0,0.00305,,0.0061
311.5,0.0031,,0.0062
312.0,0.003,,0.006
312.5,0.0038,,0.0076
313.0,0.00425,,0.0085
313.5,0.0038,,0.0076
314.0,0.0034,,0.0068
314.5,0.0026,,0.0052
315.0,0.00215,,0.0043
315.5,0.00215,,0.0043
316.0,0.002,,0.004
316.5,0.00255,,0.0051
317.0,0.00305,,0.0061
317.5,0.00315,,0.0063
318.0,0.00335,,0.0067
318.5,0.00335,,0.0067
319.0,0.00375,,0.0075
319.5,0.00405,,0.0081
320.0,0.00475,,0.0095
320.5,0.00565,,0.0113
321.0,0.00655,,0.0131
321.5,0.00735,,0.0147
322.0,0.00725,,0.0145
322.5,0.00745,,0.0149
323.0,0.007,,0.014
323.5,0.0068,,0.0136
324.0,0.008,,0.016
324.5,0.0099,,0.0198
325.0,0.0122,,0.0244
325.5,0.01295,,0.0259
326.0,0.01225,,0.0245
326.5,0.0136,,0.0272
327.0,0.01545,,0.0309
327.5,0.01635,,0.0327
328.0,0.0163,,0.0326
328.5,0.01575,,0.0315
329.0,0.01815,,0.0363
329.5,0.0208,,0.0416
330.0,0.02215,,0.0443
330.5,0.02285,,0.0457
331.0,0.0219,,0.0438
331.5,0.0208,,0.0416
332.0,0.0219,,0.0438
332.5,0.0252,,0.0504
333.0,0.0292,,0.0584
333.5,0.03495,,0.0699
334.0,0.0403,,0.0806
334.5,0.0453,,0.0906
335.0,0.04835,,0.0967
335.5,0.0491,,0.0982
336.0,0.0514,,0.1028
336.5,0.05745,,0.1149
337.0,0.06215,,0.1243
337.5,0.06725,,0.1345
338.0,0.074,,0.148
338.5,0.08225,,0.1645
339.0,0.0893,,0.1786
339.5,0.09195,,0.1839
340.0,0.0963,,0.1926
340.5,0.1012,,0.2024
341.0,0.1011,,0.2022
341.5,0.09865,,0.1973
342.0,0.09655,,0.1931
342.5,0.0953,,0.1906
343.0,0.0953,,0.1906
343.5,0.10025,,0.2005
344.0,0.1065,,0.213
344.5,0.1093,,0.2186
345.0,0.1071,,0.2142
345.5,0.10895,,0.2179
346.0,0.11715,,0.2343
346.5,0.12365,,0.2473
347.0,0.1277,,0.2554
347.5,0.1311,,0.2622
348.0,0.1303,,0.2606
348.5,0.1323,,0.2646
349.0,0.1346,,0.2692
349.5,0.13305,,0.2661
350.0,0.13525,,0.2705
350.5,0.14495,,0.2899
351.0,0.1564,,0.3128
351.5,0.1617,,0.3234
352.0,0.1581,,0.3162
352.5,0.1468,,0.2936
353.0,0.1447,,0.2894
353.5,0.15565,,0.3113
354.0,0.16195,,0.3239
354.5,0.16505,,0.3301
355.0,0.1683,,0.3366
355.5,0.17125,,0.3425
356.0,0.1736,,0.3472
356.5,0.17285,,0.3457
357.0,0.17375,,0.3475
357.5,0.1809,,0.3618
358.0,0.1833,,0.3666
358.5,0.17845,,0.3569
359.0,0.1788,,0.3576
359.5,0.18195,,0.3639
360.0,0.1845,,0.369
360.5,0.18455,,0.3691
361.0,0.18375,,0.3675
361.5,0.1824,,0.3648
362.0,0.1784,,0.3568
362.5,0.1721,,0.3442
363.0,0.16255,,0.3251
363.5,0.1572,,0.3144
364.0,0.15475,,0.3095
364.5,0.14845,,0.2969
365.0,0.1419,,0.2838
365.5,0.14255,,0.2851
366.0,0.1454,,0.2908
366.5,0.1419,,0.2838
367.0,0.13305,,0.2661
367.5,0.133,,0.266
368.0,0.1336,,0.2672
368.5,0.12775,,0.2555
369.0,0.12265,,0.2453
369.5,0.12,,0.24
370.0,0.11945,,0.2389
370.5,0.1139,,0.2278
371.0,0.10275,,0.2055
371.5,0.09305,,0.1861
372.0,0.0874,,0.1748
372.5,0.08425,,0.1685
373.0,0.0884,,0.1768
373.5,0.0951,,0.1902
374.0,0.0911,,0.1822
374.5,0.0868,,0.1736
375.0,0.086,,0.172
375.5,0.08115,,0.1623
376.0,0.07555,,0.1511
376.5,0.07305,,0.1461
377.0,0.07195,,0.1439
377.5,0.0694,,0.1388
378.0,0.0685,,0.137
378.5,0.0635,,0.127
379.0,0.0602,,0.1204
379.5,0.06035,,0.1207
380.0,0.05925,,0.1185
380.5,0.05555,,0.1111
381.0,0.0525,,0.105
381.5,0.05055,,0.1011
382.0,0.04655,,0.0931
382.5,0.0428,,0.0856
383.0,0.0428,,0.0856
383.5,0.0428,,0.0856
384.0,0.04085,,0.0817
384.5,0.0381,,0.0762
385.0,0.0382,,0.0764
385.5,0.0368,,0.0736
386.0,0.0331,,0.0662
386.5,0.0305,,0.061
387.0,0.0286,,0.0572
387.5,0.0254,,0.0508
388.0,0.0235,,0.047
388.5,0.02255,,0.0451
389.0,0.02235,,0.0447
389.5,0.02215,,0.0443
390.0,0.02325,,0.0465
390.5,0.02415,,0.0483
391.0,0.02255,,0.0451
391.5,0.0219,,0.0438
392.0,0.0196,,0.0392
392.5,0.0163,,0.0326
393.0,0.01445,,0.0289
393.5,0.0123,,0.0246
394.0,0.00975,,0.0195
394.5,0.00825,,0.0165
395.0,0.00715,,0.0143
395.5,0.0085,,0.017
396.0,0.00925,,0.0185
396.5,0.0091,,0.0182
397.0,0.01,,0.02
397.5,0.0115,,0.023
398.0,0.011,,0.022
398.5,0.0096,,0.0192
399.0,0.0089,,0.0178
399.5,0.0089,,0.0178
400.0,0.0091,,0.0182
400.5,0.008,,0.016
401.0,0.007,,0.014
401.5,0.0075,,0.015
402.0,0.0078,,0.0156
402.5,0.00745,,0.0149
403.0,0.00745,,0.0149
403.5,0.0087,,0.0174
404.0,0.01045,,0.0209
404.5,0.01235,,0.0247
405.0,0.0127,,0.0254
405.5,0.01125,,0.0225
406.0,0.01055,,0.0211
406.5,0.01025,,0.0205
407.0,0.00955,,0.0191
407.5,0.0093,,0.0186
408.0,0.009,,0.018
408.5,0.0099,,0.0198
409.0,0.0099,,0.0198
409.5,0.0088,,0.0176
410.0,0.00745,,0.0149
410.5,0.007,,0.014
411.0,0.00755,,0.0151
411.5,0.0077,,0.0154
412.0,0.0066,,0.0132
412.5,0.00595,,0.0119
413.0,0.00585,,0.0117
413.5,0.0058,,0.0116
414.0,0.0059,,0.0118
414.5,0.00535,,0.0107
415.0,0.006,,0.012
415.5,0.00645,,0.0129
416.0,0.00605,,0.0121
416.5,0.00635,,0.0127
417.0,0.00615,,0.0123
417.5,0.006,,0.012
418.0,0.00575,,0.0115
418.5,0.00495,,0.0099
419.0,0.0049,,0.0098
419.5,0.00465,,0.0093
420.0,0.00385,,0.0077
420.5,0.0029,,0.0058
421.0,0.00295,,0.0059
421.5,0.00365,,0.0073
422.0,0.00435,,0.0087
422.5,0.00505,,0.0101
423.0,0.00485,,0.0097
423.5,0.0038,,0.0076
424.0,0.00305,,0.0061
424.5,0.00255,,0.0051
425.0,0.0024,,0.0048
425.5,0.00255,,0.0051
426.0,0.0024,,0.0048
426.5,0.00195,,0.0039
427.0,0.00165,,0.0033
427.5,0.00115,,0.0023
428.0,0.0007,,0.0014
428.5,0.0008,,0.0016
429.0,0.0014,,0.0028
429.5,0.0013,,0.0026
430.0,0.00095,,0.0019
430.5,0.0012,,0.0024
431.0,0.0015,,0.003
431.5,0.0014,,0.0028
432.0,0.00115,,0.0023
432.5,0.00165,,0.0033
433.0,0.0017,,0.0034
433.5,0.001,,0.002
434.0,0.0007,,0.0014
434.5,0.0008,,0.0016
435.0,0.00085,,0.0017
435.5,0.0005,,0.001
436.0,0.0005,,0.001
436.5,0.0005,,0.001
437.0,0.0004,,0.0008
437.5,0.00035,,0.0007
438.0,0.0001,,0.0002
