,Count,Count2
35.0,0.004857,0.003776
35.5,0.004783,0.003775
36.0,0.004779,0.003888
36.5,0.004904,0.003947
37.0,0.004905,0.003985
37.5,0.004978,0.003961
38.0,0.005042,0.003973
38.5,0.004904,0.003995
39.0,0.004814,0.00403
39.5,0.00482,0.00408
40.0,0.004665,0.004084
40.5,0.004644,0.004102
41.0,0.004809,0.004241
41.5,0.004761,0.004442
42.0,0.0047,0.004604
42.5,0.004742,0.004787
43.0,0.00479,0.00489
43.5,0.004926,0.005079
44.0,0.004902,0.005313
44.5,0.004606,0.005357
45.0,0.004372,0.005373
45.5,0.004318,0.005428
46.0,0.004339,0.00547
46.5,0.004214,0.005532
47.0,0.004135,0.005595
47.5,0.00421,0.00562
48.0,0.00426,0.005678
48.5,0.004146,0.00574
49.0,0.003998,0.005783
49.5,0.003946,0.005933
50.0,0.003868,0.005884
50.5,0.003744,0.005787
51.0,0.003662,0.005836
51.5,0.003566,0.005904
52.0,0.003523,0.005958
52.5,0.003635,0.005985
53.0,0.003704,0.005955
53.5,0.003791,0.005837
54.0,0.003982,0.005679
54.5,0.004178,0.005495
55.0,0.004173,0.005397
55.5,0.004057,0.005401
56.0,0.004032,0.00545
56.5,0.003973,0.00549
57.0,0.003826,0.005564
57.5,0.003698,0.005667
58.0,0.003672,0.005728
58.5,0.003654,0.00567
59.0,0.003638,0.005539
59.5,0.003755,0.005412
60.0,0.003799,0.005166
60.5,0.003802,0.00487
61.0,0.003794,0.004722
61.5,0.003684,0.004743
62.0,0.003648,0.004785
62.5,0.003792,0.004796
63.0,0.003948,0.004834
63.5,0.004009,0.004898
64.0,0.004062,0.004943
64.5,0.004044,0.004896
65.0,0.004065,0.004923
65.5,0.003973,0.004907
66.0,0.003832,0.004781
66.5,0.003896,0.004745
67.0,0.004025,0.004697
67.5,0.004034,0.00465
68.0,0.004023,0.004606
68.5,0.004118,0.004508
69.0,0.004172,0.004428
69.5,0.00416,0.004316
70.0,0.0042,0.004294
70.5,0.004343,0.004337
71.0,0.004493,0.004329
71.5,0.004514,0.004308
72.0,0.004475,0.004227
72.5,0.004404,0.004179
73.0,0.004371,0.004131
73.5,0.004602,0.004085
74.0,0.004788,0.004089
74.5,0.004784,0.004121
75.0,0.004771,0.004134
75.5,0.004798,0.004287
76.0,0.004706,0.004374
76.5,0.004497,0.00435
77.0,0.004346,0.004441
77.5,0.004169,0.004365
78.0,0.004049,0.004225
78.5,0.004097,0.004348
79.0,0.004129,0.00436
79.5,0.004131,0.004166
80.0,0.004228,0.0042
80.5,0.004374,0.004365
81.0,0.004294,0.004455
81.5,0.004161,0.004491
82.0,0.004153,0.00454
82.5,0.004158,0.004613
83.0,0.004042,0.004653
83.5,0.00388,0.004649
84.0,0.003931,0.004627
84.5,0.003988,0.004699
85.0,0.004017,0.004754
85.5,0.004117,0.004727
86.0,0.004211,0.004668
86.5,0.004304,0.004638
87.0,0.004405,0.004675
87.5,0.004457,0.004625
88.0,0.004442,0.004604
88.5,0.004475,0.004572
89.0,0.004435,0.00451
89.5,0.004256,0.004395
90.0,0.004216,0.004309
90.5,0.004301,0.004212
91.0,0.004353,0.004052
91.5,0.004335,0.004047
92.0,0.004391,0.004036
92.5,0.004571,0.003956
93.0,0.004739,0.003966
93.5,0.004798,0.004006
94.0,0.004723,0.004063
94.5,0.004824,0.004213
95.0,0.004944,0.004293
95.5,0.00483,0.004302
96.0,0.004727,0.004345
96.5,0.00463,0.004407
97.0,0.004566,0.004389
97.5,0.004592,0.004194
98.0,0.004581,0.004109
98.5,0.004589,0.004047
99.0,0.00468,0.00393
99.5,0.004702,0.003875
100.0,0.004674,0.003858
100.5,0.004685,0.003882
101.0,0.0047,0.00386
101.5,0.004613,0.003795
102.0,0.004636,0.00364
102.5,0.004684,0.003617
103.0,0.004606,0.003758
103.5,0.004621,0.00376
104.0,0.00454,0.003723
104.5,0.00437,0.003925
105.0,0.004436,0.004189
105.5,0.004596,0.004302
106.0,0.004541,0.004362
106.5,0.004473,0.004293
107.0,0.004382,0.004208
107.5,0.00424,0.004113
108.0,0.004184,0.00399
108.5,0.004046,0.004018
109.0,0.003939,0.004012
109.5,0.003902,0.003972
110.0,0.003903,0.003931
110.5,0.004076,0.003728
111.0,0.004228,0.003578
111.5,0.004271,0.003587
112.0,0.004292,0.00359
112.5,0.004327,0.003566
113.0,0.004385,0.003456
113.5,0.004383,0.003326
114.0,0.004354,0.003272
114.5,0.004365,0.003121
115.0,0.004307,0.003012
115.5,0.00422,0.003067
116.0,0.004277,0.003163
116.5,0.004257,0.003248
117.0,0.004116,0.003251
117.5,0.004063,0.00326
118.0,0.004081,0.003283
118.5,0.004151,0.003343
119.0,0.00412,0.003319
119.5,0.003923,0.003258
