,R,Delta,Order,Theta
108,30.0,5.0,0.9603235896355972,-0.10946372745599224
109,30.0,5.0,0.9603662671788794,-0.19868765533688715
110,30.0,5.0,0.96372666967036,0.14643725288681617
111,30.0,5.0,0.9686389116738726,0.07120263310966644
112,30.0,5.0,0.9585910627705028,-0.043600167643042205
113,30.0,5.0,0.9741810131151091,-0.10107233574317243
114,30.0,5.0,0.9624265097800502,-0.16168657454115695
115,30.0,5.0,0.9508358748473286,-0.08059236947753406
116,30.0,5.0,0.9748618438080954,-0.20935382187223125
117,30.0,5.0,0.95698012280869,0.10887907328963334
118,30.0,5.0,0.9463210824409964,-0.11750098582809551
119,30.0,5.0,0.9650487030795553,-0.17434603769682772
120,30.0,5.0,0.9581869417909913,0.03137149920045305
121,30.0,5.0,0.9631487217740928,-0.08908664757032057
122,30.0,5.0,0.9673024894938661,-0.27202831983278286
123,30.0,5.0,0.9703280284068857,0.1205039665267061
124,30.0,5.0,0.962621695507311,0.0023350428749561803
125,30.0,5.0,0.9710531924145244,-0.13722451266099
126,30.0,5.0,0.9625187012296513,-0.2857213715318168
127,30.0,5.0,0.9653202759492084,-0.09532856392263374
128,30.0,5.0,0.9594645619524971,0.13764223846445697
129,30.0,5.0,0.9607910247629432,0.014152351323207074
130,30.0,5.0,0.9701970397533899,-0.09309464873997146
131,30.0,5.0,0.9697138640687165,-0.2718175098345836
132,30.0,5.0,0.9607911555804082,-0.2040569233808519
133,30.0,5.0,0.9754137734402685,-0.15771767554061167
134,30.0,5.0,0.9669136613188537,-0.07207514100697555
135,30.0,5.0,0.9462610319842963,0.060206720259437324
136,30.0,5.0,0.9688733217677493,-0.027140274605402512
137,30.0,5.0,0.972064715272595,-0.24937815688419576
138,30.0,5.0,0.9707489223364563,-0.005902198601800641
139,30.0,5.0,0.9728486834362033,0.1757998242503776
140,30.0,5.0,0.9556790574859666,-0.030568234267864328
141,30.0,5.0,0.9616233808348278,0.3433135454066288
142,30.0,5.0,0.9652354684516813,0.10320537386175463
143,30.0,5.0,0.9530091191472152,0.18758754705847933
144,30.0,5.0,0.9653999119690158,-0.10752270246232955
145,30.0,5.0,0.9745688829852152,0.005894200554400638
146,30.0,5.0,0.9435416477792558,0.10307028895388859
147,30.0,5.0,0.9648689366700648,0.09130811686977554
148,30.0,5.0,0.954080619166433,0.18957655493320894
149,30.0,5.0,0.9621834597419209,-0.1505376309344178
150,30.0,10.0,0.9568175140751558,0.7016406135615343
151,30.0,10.0,0.9667888921618021,-0.07672664505563992
152,30.0,10.0,0.9546731008468148,-0.4471307116963506
153,30.0,10.0,0.9806851771778493,0.19265160646113857
154,30.0,10.0,0.9740528959439183,-0.5529714550291399
155,30.0,10.0,0.9564305306626034,0.11826559002080246
156,30.0,10.0,0.976890650007832,-0.23193195225466953
157,30.0,10.0,0.9720428899225155,0.05294210341857768
158,30.0,10.0,0.9771232863487094,0.1884596152279035
159,30.0,10.0,0.9824181137375947,0.2927899922024169
160,30.0,10.0,0.972257566155517,-0.21119818760072534
161,30.0,10.0,0.9829695387387962,0.1583732643923886
162,30.0,10.0,0.9257569005322477,0.3407488245951238
163,30.0,10.0,0.9694532435238968,0.12011142456413504
164,30.0,10.0,0.9652445779546981,-0.20573859286434315
165,30.0,10.0,0.9823438171811645,0.4723483028817998
166,30.0,10.0,0.9578189288933013,0.1494181151424596
167,30.0,10.0,0.9650620191194914,0.18019384131327368
168,30.0,10.0,0.9381156510888016,0.40196375530980855
169,30.0,10.0,0.978304242676926,-0.35439242285384026
170,30.0,10.0,0.9690676481052033,-0.48162794438734224
171,30.0,10.0,0.9639043842730931,-0.41202705433027653
172,30.0,10.0,0.9559449069135979,-0.2812158955030776
173,30.0,10.0,0.958342701235473,-0.8687674495289011
174,30.0,10.0,0.9690087914821156,-0.5152696531561718
175,30.0,10.0,0.9706400734665458,-0.07937336848799881
176,30.0,10.0,0.984335133550814,0.13127077228600037
177,30.0,10.0,0.9632896483497794,-0.2593873648518993
178,30.0,10.0,0.9704442950753226,-0.5044904011656767
179,30.0,10.0,0.9659738644642886,-0.52118547892835
180,30.0,10.0,0.96275689562757,0.03411067824702408
181,30.0,10.0,0.9770224175633625,0.13068468435439812
